price lot floors const roof build area yr.built eff.age baths gar basmt
"97" 102385 0.27 1 3 2 3 1725 1975 15 3 1 1
"98" 67000 0.23 1 3 2 3 1029 1976 15 2 0 1
"99" 92000 0.25 1 3 2 3 1304 1977 15 2 1 1
"100" 157385 0.29 1 3 3 4 1829 1977 13 3 1 1
"101" 68500 0.19 1 2 2 3 1528 1989 5 2 0 0
"102" 68500 0.19 1 3 2 3 1080 1979 15 2 0 1
"103" 67000 0.23 1 3 2 3 893 1979 15 2 0 1
"104" 56500 0.25 1 3 2 3 1096 1981 14 1 0 1
"105" 79000 0.23 1 3 2 3 1260 1978 14 2 0 1
"106" 85900 0.24 1 3 2 4 1294 1993 1 2 0 1
"107" 64000 0.27 1 3 2 3 1548 1984 7 2 0 0
"108" 49500 0.13 1 3 2 3 1104 1981 14 1 0 0
"109" 55500 0.13 1 3 2 3 1128 1981 14 2 0 0
"110" 56499 0.13 1 3 2 3 1128 1981 14 1 0 0
"111" 54500 0.13 1 3 2 3 1108 1981 14 1 1 0
"112" 66400 0.19 1 3 2 3 1150 1981 14 2 1 1
"113" 48500 0.09 1 3 2 3 624 1979 15 1 0 1
"114" 65500 0.1 1 3 2 3 624 1979 15 1 0 1
"115" 55500 0.19 1 3 2 3 1128 1980 15 1 0 0
"116" 76500 0.27 1 3 2 3 1273 1983 10 2 0 1
"117" 75500 0.27 1 3 2 3 1273 1983 10 2 0 1
"118" 100900 0.33 1 3 2 4 1801 1979 13 2 1 1
"119" 94000 0.23 1 4 2 4 1678 1984 6 1 1 0
"120" 122500 0.29 1.5 4 3 4 1826 1992 1 2 1 1
"121" 70000 0.23 1 3 2 3 894 1981 14 2 1 1
"122" 56500 0.17 1 3 2 4 922 1992 1 1 1 1
"123" 74000 0.25 1.5 4 2 4 1200 1984 6 2 1 1
"124" 79000 0.28 1 3 2 3 1690 1993 1 2 1 0
"125" 136500 0.55 1.5 4 3 4 2459 1989 1 2 1 0
"126" 123000 0.28 2 3 3 3 2700 1989 5 3 1 1
"127" 49000 0.03 2 4 2 4 1066 1984 5 1 0 0
"128" 119922 0.27 1.5 4 2 4 3104 1993 1 3 1 1
"129" 107250 0.33 1 3 2 4 1764 1993 1 2 1 1
"130" 103500 0.29 1 3 2 4 1410 1993 1 2 1 1
"131" 67000 0.23 1 3 2 4 1467 1993 1 3 1 1
"132" 84000 0.23 1 3 2 4 1335 1993 1 2 1 1
"133" 66050 0.2 1 3 2 4 1075 1992 2 2 1 1
"134" 62000 0.2 1 3 2 3 1094 1992 1 2 0 1
"135" 62500 0.2 1 3 2 4 1075 1993 1 2 0 1
"136" 83250 0.18 1 3 3 4 1275 1993 1 2 1 0
"137" 124500 0.12 1 3 2 3 1036 1993 1 3 1 1
"138" 83750 0.14 2 3 3 4 1380 1992 2 2 1 0
"139" 84000 0.18 1 3 3 4 1367 1993 1 2 1 0
"140" 92000 0.19 1 3 3 3 1460 1993 1 2 1 0
"141" 96500 0.23 1.5 3 3 4 1216 1993 1 3 1 1
"142" 68100 0.17 1 3 3 4 1340 1993 1 2 1 0
"143" 64500 0.17 2 3 3 3 1528 1993 1 2 1 0
"144" 48700 0.02 2 3 2 3 1054 1993 1 1 0 0
"145" 47120 0.02 2 3 2 3 1054 1993 1 1 0 0
"146" 46700 0.02 2 3 2 3 1054 1993 1 1 0 0
"147" 46700 0.02 2 3 2 3 1054 1993 1 1 0 0
"148" 51700 0.03 2 3 2 3 1088 1993 1 1 0 0
"149" 52700 0.04 2 3 2 3 1088 1993 1 1 0 0
"150" 50700 0.02 1 3 2 3 544 1993 1 1 0 1
"151" 63900 0.2 1 3 2 3 1036 1992 2 2 1 1
"152" 72250 0.2 1 3 2 4 1280 1993 1 2 1 1
"153" 66600 0.2 1 3 2 4 1098 1993 1 2 0 1
"154" 69400 0.2 1 3 2 3 1089 1993 1 2 1 1
"155" 65500 0.2 1 3 2 4 1180 1993 1 2 0 1
"156" 69400 0.2 1 3 2 4 1088 1993 1 2 1 1
"157" 75000 0.2 1 3 2 4 1331 1993 1 2 1 1
"158" 72000 0.2 1 3 2 4 1183 1993 1 2 1 1
"159" 76100 0.21 1 3 2 3 1176 1993 1 2 1 1
"160" 54500 0.14 1 3 2 3 918 1993 1 1 1 1
"161" 64900 0.17 1.5 3 2 4 1344 1993 1 2 1 1
"162" 69993 0.14 1.5 3 2 3 1344 1993 1 2 1 1
"163" 58700 0.15 1 3 2 4 998 1993 1 2 1 0
"164" 60250 0.17 1 3 2 4 918 1993 1 1 1 1

